--;0.00%;0.00%;0B / 0B;0B / 0B;0B / 0B;044784c76ab7b ;00:36:26
great_hermann;142.71%;2.87%;225MiB / 7.667GiB;181MB / 15MB;12.3MB / 18.1MB;7744784c76ab7b ;00:41:18
great_hermann;88.01%;2.48%;194.6MiB / 7.667GiB;182MB / 15.1MB;12.3MB / 18.1MB;7344784c76ab7b ;00:41:20
great_hermann;49.18%;2.76%;216.9MiB / 7.667GiB;182MB / 15.2MB;12.3MB / 18.1MB;8144784c76ab7b ;00:41:22
great_hermann;84.42%;3.54%;278.1MiB / 7.667GiB;183MB / 15.2MB;12.3MB / 18.1MB;8144784c76ab7b ;00:41:24
great_hermann;45.25%;3.46%;271.9MiB / 7.667GiB;183MB / 15.2MB;12.3MB / 18.1MB;8044784c76ab7b ;00:41:26
great_hermann;136.14%;2.49%;195.1MiB / 7.667GiB;184MB / 15.4MB;12.3MB / 18.1MB;7144784c76ab7b ;00:41:28
great_hermann;95.58%;3.16%;247.8MiB / 7.667GiB;185MB / 15.4MB;12.3MB / 18.1MB;8044784c76ab7b ;00:41:30
great_hermann;7.43%;2.48%;194.5MiB / 7.667GiB;185MB / 15.5MB;12.3MB / 18.1MB;7144784c76ab7b ;00:41:32
great_hermann;111.70%;2.66%;208.5MiB / 7.667GiB;187MB / 15.6MB;12.3MB / 18.1MB;7544784c76ab7b ;00:41:34
great_hermann;8.99%;2.48%;194.6MiB / 7.667GiB;187MB / 15.7MB;12.3MB / 18.1MB;7144784c76ab7b ;00:41:36
great_hermann;130.42%;2.86%;224.6MiB / 7.667GiB;190MB / 15.8MB;12.3MB / 18.1MB;7544784c76ab7b ;00:41:38
great_hermann;7.75%;2.48%;194.8MiB / 7.667GiB;190MB / 15.8MB;12.3MB / 18.1MB;7144784c76ab7b ;00:41:40
great_hermann;139.61%;3.06%;240.2MiB / 7.667GiB;192MB / 16MB;12.3MB / 18.1MB;8444784c76ab7b ;00:41:42
great_hermann;147.38%;3.12%;244.7MiB / 7.667GiB;194MB / 16.1MB;12.3MB / 18.1MB;8544784c76ab7b ;00:41:44
great_hermann;94.67%;2.50%;196.6MiB / 7.667GiB;195MB / 16.3MB;12.3MB / 18.1MB;7144784c76ab7b ;00:41:46
great_hermann;105.90%;3.21%;252.1MiB / 7.667GiB;196MB / 16.3MB;12.3MB / 18.1MB;7644784c76ab7b ;00:41:48
great_hermann;6.01%;2.51%;196.9MiB / 7.667GiB;196MB / 16.4MB;12.3MB / 18.1MB;7444784c76ab7b ;00:41:50
great_hermann;137.27%;3.32%;260.8MiB / 7.667GiB;198MB / 16.5MB;12.3MB / 18.1MB;9044784c76ab7b ;00:41:52
great_hermann;139.72%;3.30%;259.2MiB / 7.667GiB;200MB / 16.7MB;12.3MB / 18.1MB;8144784c76ab7b ;00:41:54
great_hermann;58.02%;2.52%;197.6MiB / 7.667GiB;201MB / 16.8MB;12.3MB / 18.1MB;7344784c76ab7b ;00:41:56
great_hermann;11.55%;2.52%;198.1MiB / 7.667GiB;202MB / 16.9MB;12.3MB / 18.1MB;7344784c76ab7b ;00:41:58
great_hermann;148.07%;2.39%;187.9MiB / 7.667GiB;203MB / 17MB;12.3MB / 18.1MB;6044784c76ab7b ;00:42:00
great_hermann;135.44%;2.40%;188.3MiB / 7.667GiB;205MB / 17.2MB;12.3MB / 18.1MB;6044784c76ab7b ;00:42:02
great_hermann;152.18%;2.40%;188.7MiB / 7.667GiB;207MB / 17.4MB;12.3MB / 18.1MB;6044784c76ab7b ;00:42:04
great_hermann;141.70%;3.05%;239.6MiB / 7.667GiB;209MB / 17.5MB;12.3MB / 18.1MB;8144784c76ab7b ;00:42:06
great_hermann;84.59%;2.54%;199.1MiB / 7.667GiB;210MB / 17.7MB;12.3MB / 18.1MB;7344784c76ab7b ;00:42:08
great_hermann;89.41%;3.16%;248.3MiB / 7.667GiB;213MB / 17.7MB;12.3MB / 18.1MB;8444784c76ab7b ;00:42:10
great_hermann;124.80%;2.59%;203.4MiB / 7.667GiB;215MB / 17.9MB;12.3MB / 18.1MB;7344784c76ab7b ;00:42:12
great_hermann;139.98%;2.55%;200MiB / 7.667GiB;217MB / 18.1MB;12.3MB / 18.1MB;7344784c76ab7b ;00:42:14
great_hermann;6.00%;2.54%;199.6MiB / 7.667GiB;218MB / 18.2MB;12.3MB / 18.1MB;7344784c76ab7b ;00:42:16
great_hermann;141.70%;3.29%;257.9MiB / 7.667GiB;220MB / 18.3MB;12.3MB / 18.1MB;8344784c76ab7b ;00:42:18
great_hermann;72.12%;3.63%;284.6MiB / 7.667GiB;220MB / 18.4MB;12.3MB / 18.1MB;8344784c76ab7b ;00:42:20
great_hermann;37.78%;3.53%;276.9MiB / 7.667GiB;220MB / 18.4MB;12.3MB / 18.1MB;8044784c76ab7b ;00:42:22
great_hermann;5.66%;2.55%;199.9MiB / 7.667GiB;221MB / 18.4MB;12.3MB / 18.1MB;7044784c76ab7b ;00:42:24
great_hermann;31.60%;2.55%;200.4MiB / 7.667GiB;222MB / 18.5MB;12.3MB / 18.1MB;7044784c76ab7b ;00:42:27
great_hermann;128.27%;3.27%;257MiB / 7.667GiB;223MB / 18.6MB;12.3MB / 18.1MB;7544784c76ab7b ;00:42:29
great_hermann;61.29%;2.56%;200.8MiB / 7.667GiB;224MB / 18.7MB;12.3MB / 18.1MB;7044784c76ab7b ;00:42:31
great_hermann;123.14%;3.37%;264.5MiB / 7.667GiB;225MB / 18.7MB;12.3MB / 18.1MB;7544784c76ab7b ;00:42:33
great_hermann;116.81%;2.56%;201.2MiB / 7.667GiB;226MB / 18.9MB;12.3MB / 18.1MB;7044784c76ab7b ;00:42:35
great_hermann;1.16%;2.55%;200.4MiB / 7.667GiB;226MB / 18.9MB;12.3MB / 18.1MB;7044784c76ab7b ;00:42:37
great_hermann;2.31%;2.55%;200.2MiB / 7.667GiB;226MB / 18.9MB;12.3MB / 18.1MB;7044784c76ab7b ;00:42:39
great_hermann;8.53%;2.22%;174.5MiB / 7.667GiB;226MB / 18.9MB;12.3MB / 18.1MB;7044784c76ab7b ;00:42:41
great_hermann;140.60%;2.76%;216.5MiB / 7.667GiB;228MB / 19MB;12.3MB / 18.1MB;7844784c76ab7b ;00:42:43
great_hermann;149.32%;2.78%;218.2MiB / 7.667GiB;230MB / 19.2MB;12.3MB / 18.1MB;7544784c76ab7b ;00:42:45
great_hermann;79.96%;2.28%;178.9MiB / 7.667GiB;231MB / 19.3MB;12.3MB / 18.1MB;7044784c76ab7b ;00:42:47
great_hermann;162.73%;2.17%;170.3MiB / 7.667GiB;232MB / 19.4MB;12.3MB / 18.1MB;5744784c76ab7b ;00:42:49
